Observation_ID,Common_Name,Scientific_Name,Family,Genus,Observed_Length_(m),Observed_Weight_(kg),Age_Class,Sex,Date_of_Observation,Country/Region,Habitat_Type,Conservation_Status,Observer_Name,Notes
231,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,0.82,93.9,Hatchling,Male,23-08-2012,Venezuela,Flooded_Savannas,Critically_Endangered,Ann_Alexander,Scientist_service_test_start_middle_city.
232,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.14,336.8,Subadult,Unknown,15-11-2013,Nigeria,Rivers,Least_Concern,Jonathon_Taylor,These_ahead_cover_strategy_student_economic_lead_truth_relate_ever_statement_measure_play.
233,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.94,54.2,Subadult,Unknown,22-07-2020,Australia,Freshwater_Rivers,Least_Concern,Andre_Watson,Land_whether_listen_necessary_general_study_else_store_bed_agree.
234,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.98,190.6,Adult,Female,31-01-2024,Sudan,Rivers,Least_Concern,Scott_Chan,Tax_positive_question_especially_important_after.
235,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,1.74,48.3,Juvenile,Female,07-10-2008,Papua_New_Guinea,Rivers,Least_Concern,Patricia_Smith,Positive_over_across_education_source_figure_whom_poor.
236,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.07,93.2,Adult,Male,28-08-2013,Côte_d'Ivoire,Swamps,Critically_Endangered,James_Bailey,Design_few_minute_perhaps_once_account_yourself.
237,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.94,139.7,Adult,Unknown,03-01-2022,Indonesia,Rivers,Data_Deficient,Sara_Hoffman,Participant_fear_blue_as_write_political_technology_end_represent_throughout_federal_change_she_tonight_south_sort_outside.
238,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,1.01,84.2,Juvenile,Male,31-07-2012,Venezuela,Brackish_Rivers,Vulnerable,Melanie_Griffith,Young_else_industry_home_along_remain_occur.
239,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.79,133.3,Adult,Female,26-10-2019,Malaysia,Estuarine_Systems,Data_Deficient,Nicholas_Walker,Point_little_wait_grow_feel_color_price_next_family_likely_scientist.
240,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,1.9,55.3,Adult,Unknown,10-10-2015,Mexico,Swamps,Least_Concern,Kristin_Gaines,Pressure_develop_development_the_inside_thought.
241,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.88,57.7,Subadult,Male,26-05-2019,Philippines,Freshwater_Marshes,Critically_Endangered,Kevin_Ford,Like_term_on_want_author_threat_matter_test.
242,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,1.99,78.3,Subadult,Unknown,04-03-2007,Mali,Oases,Least_Concern,Edwin_Brown,Case_customer_important_notice_trade_leader_first_resource.
243,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.46,23.3,Adult,Unknown,30-05-2020,Central_African_Republic,Forest_Swamps,Data_Deficient,Katherine_Welch,Finish_around_later_decide_similar_office_citizen_size_sister_can.
244,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.69,45.7,Adult,Unknown,30-11-2018,Australia,Freshwater_Rivers,Least_Concern,Jeffrey_Patterson,Himself_also_current_health_add_focus_street_course_quality_phone_eat_really_general_can_himself.
245,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,2.14,143,Juvenile,Unknown,03-07-2025,Venezuela,Large_Rivers,Critically_Endangered,Carol_Colon,Way_lay_minute_model_its_rather_card_you_majority_seek_close.
246,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.42,25.1,Adult,Unknown,07-03-2018,Central_African_Republic,Forest_Swamps,Data_Deficient,Robin_Smith,Road_capital_safe_operation_college_hand_practice_also_theory_eight.
247,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.07,84.4,Adult,Male,16-08-2022,Cuba,Swamps,Critically_Endangered,Amber_Vang,President_after_ready_indicate_herself_natural_listen_check.
248,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,1.52,52.5,Juvenile,Male,17-11-2013,Laos,Oxbow_Lakes,Critically_Endangered,Lorraine_Turner,Production_establish_paper_case_store_bit.
249,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.55,405.8,Juvenile,Unknown,09-12-2014,Indonesia,Tidal_Rivers,Least_Concern,Autumn_Wilson,Marriage_participant_sing_story_win_group_important_civil.
250,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,2.8,165.3,Adult,Male,23-07-2016,Cuba,Coastal_Lagoons,Vulnerable,Susan_Watts,Former_able_public_trade_structure_protect_chance_bed_memory_rich_big_eight.
251,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.24,13.5,Adult,Male,10-10-2023,Guinea,Forest_Swamps,Vulnerable,William_Phillips,Anyone_spend_them_system_growth_quality_international.
252,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.89,169.2,Subadult,Male,10-05-2013,Côte_d'Ivoire,Swamps,Critically_Endangered,Samuel_Zamora,System_professional_color_group.
253,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.86,164.1,Adult,Female,13-08-2005,Gabon,Forest_Rivers,Endangered,Marco_Johns,Head_garden_box_hundred_lead.
254,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,0.38,22,Hatchling,Male,20-08-2015,Philippines,Ponds,Critically_Endangered,Melissa_Mendoza,Power_someone_both_receive_around_wall_city_indeed_opportunity.
255,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.56,437.1,Adult,Female,27-08-2010,Uganda,Reservoirs,Least_Concern,Meghan_White,Single_particularly_television_they_road_through_low_maintain_thought_key.
256,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.03,10.4,Adult,Unknown,05-05-2011,Liberia,Forest_Swamps,Vulnerable,Matthew_Smith,Should_office_north_within_prove_full_mission_red_believe_product_eat_generation_put_his_stuff_next.
257,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.51,241.3,Adult,Unknown,14-09-2011,Cuba,Estuaries,Vulnerable,Amy_Schneider_MD,System_thank_avoid_man_drive_wife_anyone_development_poor_idea_dog_learn_soon_large_task_language.
258,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.53,233.8,Adult,Unknown,28-07-2005,Pakistan,Reservoirs,Vulnerable,Jonathan_Valdez,Idea_along_near_stay_social_white_point.
259,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,3.06,162.8,Subadult,Unknown,09-08-2022,Malaysia,Estuarine_Systems,Data_Deficient,Kristina_Pena,Wear_guy_approach_development_lawyer_nice_people_list_price_respond_box_service_develop_game_stop_who.
260,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,2.86,107.4,Adult,Male,31-03-2020,Australia,Gorges,Least_Concern,Joseph_Park,To_manage_state_score.
261,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,2.87,160.3,Subadult,Female,16-03-2006,Iran,Lakes,Vulnerable,David_Gonzalez,Us_hotel_lead_sit_response_blue_increase_unit_study.
262,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.1,59.1,Adult,Male,29-06-2009,Philippines,Rivers,Critically_Endangered,Patricia_Hayes,What_care_material_morning_any_very_stuff_lot_meet_TV_concern_official_room_campaign_hold_over_third.
263,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,1.56,47.1,Juvenile,Female,12-09-2009,Cuba,Freshwater_Wetlands,Critically_Endangered,Janice_Petty,Event_white_wife_laugh_card_include_record_security_federal_reduce_team.
264,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,0.58,75.8,Hatchling,Male,03-01-2025,Costa_Rica,Estuaries,Vulnerable,Taylor_Chen,Decide_research_rather_TV_car.
265,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4,438.8,Subadult,Male,09-09-2011,Tanzania,Reservoirs,Least_Concern,Vanessa_Thompson,Reason_follow_break_good_lose_number_project_individual_security_subject_experience_suggest_space_mission_agent_certainly_prove_customer.
266,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.05,11.9,Subadult,Male,27-09-2009,Cameroon,Forest_Swamps,Vulnerable,Candace_Mitchell,Chair_artist_six_daughter_must_grow_laugh_pattern_push_no_difference_positive.
267,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,2.82,223,Adult,Unknown,03-02-2006,Venezuela,Large_Rivers,Critically_Endangered,Jorge_Robles,Realize_another_high_indicate_small.
268,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.08,418.9,Juvenile,Female,10-06-2014,Malaysia,Estuaries,Least_Concern,Tracy_Brown,Data_than_team_kitchen_difficult_plant_remember_happy_open_school_cultural_right.
269,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.85,151.8,Adult,Female,23-07-2007,Cambodia,Swamps,Critically_Endangered,Jerry_Lucero,Cost_community_message_help_investment_news.
270,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.31,84.8,Adult,Unknown,06-12-2025,Philippines,Rivers,Critically_Endangered,Kevin_Scott,Letter_visit_always_up_others_similar_personal_successful_feeling.
271,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,2.68,286.7,Juvenile,Unknown,09-03-2010,South_Africa,Marshes,Least_Concern,Krista_Jones,Moment_whatever_minute_skill_city_myself_idea_glass_third_professional.
272,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.08,82.8,Adult,Female,26-07-2021,Guinea,Shaded_Forest_Rivers,Critically_Endangered,Edward_Clements,Most_you_statement_wonder_across_protect_knowledge_toward.
273,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,5.18,848.2,Adult,Unknown,01-02-2007,Tanzania,Marshes,Least_Concern,Lisa_Haley,High_someone_box_either_rich_agency_might_side.
274,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.67,118.9,Adult,Unknown,16-11-2024,Mexico,Swamps,Least_Concern,Katie_Tucker,Together_court_message_way_cold_what_Mrs.
275,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.19,541.7,Adult,Female,18-09-2018,Australia,Mangroves,Least_Concern,Austin_Santiago,Ten_interest_billion_Mrs_reflect_wish_simple_position_vote_section_child.
276,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.69,125.4,Adult,Unknown,09-10-2016,Congo_Basin_Countries,Forest_Rivers,Endangered,Gary_Miller,Concern_edge_audience_start_treat_imagine_later.
277,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.28,15.4,Subadult,Unknown,03-01-2025,Ghana,Forest_Swamps,Vulnerable,Eugene_Price,Movement_political_peace_series.
278,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,3.25,253.9,Subadult,Unknown,30-12-2009,Colombia,Flooded_Savannas,Critically_Endangered,Mercedes_Jones,Blood_skin_feeling_beat_she_join_house_produce_listen_mouth_carry.
279,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,1.78,96.7,Juvenile,Male,18-01-2014,Colombia,Coastal_Lagoons,Vulnerable,Robert_Gardner,Fear_thought_whole_term_possible_whatever_action_themselves_center_among.
280,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.51,23.7,Adult,Female,24-02-2013,Congo,Forest_Swamps,Data_Deficient,Jennifer_Kelley,Fight_security_tough_gas_include_position_mention_claim_determine.
281,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,1.76,48.7,Juvenile,Female,19-12-2012,Indonesia,Rivers,Least_Concern,Cheyenne_White,System_surface_usually_yes_leave_near_fact_attack_better_rise_maintain_former_campaign_pretty_beyond_people_too_fish.
282,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,2.33,69.2,Adult,Male,17-09-2007,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Luis_Torres,Charge_note_space_when_collection_finish_size_Republican_political_everybody_growth_quickly_former_lose_knowledge_simple_main.
283,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.02,71.7,Subadult,Male,10-03-2016,Philippines,Ponds,Critically_Endangered,Matthew_Miller,Teach_cause_Mrs_enjoy_though.
284,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.31,21.1,Subadult,Unknown,08-10-2024,Central_African_Republic,Slow_Streams,Data_Deficient,Bernard_Smith,Place_spend_often_shoulder_defense_already_end_thus_music_president_chance.
285,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.76,125.2,Adult,Unknown,28-06-2016,Laos,Oxbow_Lakes,Critically_Endangered,Steven_Lawrence,Card_may_bed_hair_action_draw_who_word_range_serious_cell_city_not.
286,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.29,83.8,Subadult,Unknown,01-08-2019,Papua_New_Guinea,Rivers,Least_Concern,Shelby_Thomas,Voice_American_seven_discussion_enough_doctor_protect_military_social_hold_truth_thing_always_possible_billion_why.
287,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.89,144.5,Adult,Unknown,10-10-2021,Indonesia,Swamps,Least_Concern,Denise_Harmon,Name_community_president_half_president_structure_might_heavy.
288,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.18,15.7,Adult,Male,30-10-2023,Guinea,Small_Streams,Vulnerable,Kelli_Gomez,Main_lot_page_maybe_catch_close_baby_poor_deep.
289,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.2,16.9,Adult,Unknown,08-07-2019,Central_African_Republic,Forest_Swamps,Data_Deficient,Jack_Love,Produce_increase_form_box_push_look_opportunity_positive_improve_during.
290,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.47,30.9,Juvenile,Female,14-08-2023,Australia,Gorges,Least_Concern,Kevin_Taylor,Always_occur_argue_election_conference_when_out_nor_affect_rest_product_exist_beat.
291,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.36,20.2,Adult,Male,12-03-2009,Congo,Forest_Swamps,Data_Deficient,Willie_Dillon,Detail_improve_central_old_should_perhaps_member_cold_rate.
292,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.96,637.2,Subadult,Male,30-10-2025,Indonesia,Estuaries,Least_Concern,Linda_Jones,History_board_dark_teacher_mean_information_change_benefit_live_pass.
293,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,3.06,180.7,Adult,Unknown,13-07-2006,Congo_Basin_Countries,Forest_Rivers,Endangered,Richard_Gordon,Behavior_process_top_much_ability_visit_question_issue_inside.
294,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.11,14.6,Subadult,Unknown,27-08-2015,Congo,Forest_Swamps,Data_Deficient,Melissa_Patterson,Smile_high_open_scientist_seven_recent_best_care_local_discussion_teacher_exist_theory.
295,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,3.15,187.8,Adult,Male,28-08-2013,Liberia,Swamps,Critically_Endangered,Colin_Fletcher,Official_brother_according.
296,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.64,25,Adult,Male,03-10-2008,Ghana,Forest_Swamps,Vulnerable,Melissa_Stewart,Blood_international_one_end_movie_north_partner.
297,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.48,104.1,Adult,Female,03-07-2019,Philippines,Ponds,Critically_Endangered,Jennifer_Harris_DDS,Lot_have_never_effect_fill_general_relationship_save_talk_process.
298,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,1.63,169.1,Juvenile,Unknown,27-01-2014,South_Africa,Marshes,Least_Concern,Jillian_Lyons,Beyond_meet_skill_song.
299,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.78,153.8,Adult,Unknown,10-01-2024,Mali,Lakes,Least_Concern,Melinda_Williams,Who_accept_before_certainly_unit_itself_ask_develop_bag_also_his_worker_pass_minute_represent.
300,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.79,101.5,Subadult,Male,19-12-2016,Mexico,Swamps,Least_Concern,Theresa_Wilkins,Keep_cut_prevent_sound_experience_almost_outside_middle_discuss_college_already_dream_a_church.
301,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.35,23,Adult,Unknown,15-05-2013,Congo,Forest_Swamps,Data_Deficient,Penny_Gomez_MD,Customer_address_region_try_near_risk_next_on_girl.
302,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.62,437.6,Adult,Unknown,17-09-2012,India,Coastal_Wetlands,Least_Concern,Courtney_Mccarty,Upon_offer_end_imagine_blood_authority_family_water_sort_what_then_spend_offer_reason_whom_none.
303,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.61,119.8,Adult,Unknown,07-05-2015,Cuba,Swamps,Critically_Endangered,Nina_Ali,Race_to_television_loss_election_him_small_detail.
304,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.18,76.2,Adult,Male,25-05-2011,Cambodia,Slow_Rivers,Critically_Endangered,Rebecca_Gutierrez,Might_act_strategy_eat_behavior_purpose_start_away_use_live_government.
305,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.06,75.7,Subadult,Male,10-01-2012,Cameroon,Forest_Rivers,Endangered,Debra_Valentine,Material_current_save_their_deal_dark_economic_peace_choose_blood.
306,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.92,150.7,Adult,Male,25-06-2019,Cambodia,Swamps,Critically_Endangered,Megan_Alvarado,According_tax_when_summer_he_firm_together_thing_off_ever_consumer.
307,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.12,15.5,Adult,Unknown,13-09-2005,Central_African_Republic,Forest_Swamps,Data_Deficient,Kayla_Sanders,Campaign_moment_institution_vote_allow_girl_team.
308,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.47,25.1,Subadult,Female,02-01-2008,Central_African_Republic,Forest_Swamps,Data_Deficient,Joyce_Martinez,Least_ready_activity_decision_ok_foot_party_employee_nature_down_likely_party_hand_material_decision.
309,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,1.51,43.1,Juvenile,Male,14-09-2017,Papua_New_Guinea,Rivers,Least_Concern,Jacqueline_Dickerson,Late_number_without_rather_sport_result_sound_new_task_cultural.
310,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.65,449.3,Juvenile,Female,03-08-2025,Papua_New_Guinea,Estuaries,Least_Concern,Nancy_Kennedy,Computer_matter_yet.
311,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.26,83.5,Adult,Unknown,25-11-2008,Indonesia,Rivers,Least_Concern,Kelly_Le,Feel_no_nothing_huge_real_art_sport_live_picture_last_free_guess_night_use.
312,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,1.34,43.5,Juvenile,Female,03-12-2015,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Alejandro_Martinez,Current_office_power_company_sister_great_pull_maintain_say_threat_high_expert_place_certain_cold_space_front_piece_occur.
313,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,1.51,59.1,Juvenile,Unknown,02-03-2010,Cuba,Swamps,Critically_Endangered,Andrea_Martin,Finish_president_report_painting_house_thought.
314,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,0.79,33.9,Juvenile,Male,14-02-2019,Congo_Basin_Countries,Forest_Rivers,Endangered,Teresa_Adkins,Whole_including_contain_age_road_product_wait_red_bag_cold.
315,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.33,658.3,Adult,Unknown,30-04-2021,Malaysia,Tidal_Rivers,Least_Concern,Arthur_Johns,Approach_side_model_you_billion_peace_base_use_hope.
316,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.67,48.8,Adult,Male,24-12-2018,Philippines,Freshwater_Marshes,Critically_Endangered,Oscar_Ramos,Capital_stuff_agreement_professional_team_foot_live_window.
317,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.94,142.5,Adult,Unknown,08-05-2020,Côte_d'Ivoire,Shaded_Forest_Rivers,Critically_Endangered,Denise_Wallace,Computer_our_piece_player_nor_model_police_finally_girl.
318,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,1.9,121.2,Juvenile,Unknown,04-02-2017,Venezuela,Flooded_Savannas,Critically_Endangered,Regina_Ramos,Include_choose_action_model_serve_carry_expert_movement_reach_man_sense_federal_she_something.
319,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.81,138.5,Adult,Female,11-11-2012,Indonesia,Estuarine_Systems,Data_Deficient,Rebecca_Kelley,In_night_house_clear_say_hope.
320,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.97,181.1,Adult,Male,28-08-2016,Cambodia,Swamps,Critically_Endangered,Dennis_Henderson,Might_son_party_really_even_possible_mother_especially.
321,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.73,104.6,Adult,Unknown,15-03-2013,Indonesia,Rivers,Least_Concern,Barry_Taylor,Pm_pay_evening_performance_could_affect_anyone_movement.
322,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.73,45.3,Subadult,Unknown,06-12-2013,Philippines,Ponds,Critically_Endangered,Brian_Adams,Road_do_character_management_game_find_son_your.
323,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.22,193.4,Subadult,Unknown,03-03-2006,Sri_Lanka,Marshes,Vulnerable,Rick_Rivera,Argue_simply_author_like.
324,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.3,218,Subadult,Female,09-10-2018,USA,Mangroves,Vulnerable,Ryan_Roth,Business_should_eat.
325,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,2.8,218,Subadult,Unknown,31-08-2020,Venezuela,Large_Rivers,Critically_Endangered,Jessica_Rojas,Current_same_behind.
326,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,2.28,73.1,Adult,Unknown,06-05-2005,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Christine_Price,View_city_rock_seat_near_business_loss_federal_growth_appear_project_wind_door.
327,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.75,42.5,Juvenile,Female,23-11-2017,Australia,Billabongs,Least_Concern,Adrian_Bauer,Build_smile_across_among_situation_little_other_he_become_citizen.
328,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,3,130.3,Adult,Female,26-08-2024,Malaysia,Estuarine_Systems,Data_Deficient,Luke_Galvan,Art_green_child_movie_blue_maintain_first_next_popular_girl_through_run_again_help_right_economy.
329,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,0.72,33.5,Juvenile,Male,08-03-2020,Congo_Basin_Countries,Forest_Rivers,Endangered,Michael_Hansen,Recent_couple_cost_girl_run_every_story_trial_never_attention_choice_fast_enjoy_happen.
330,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.23,83.7,Adult,Male,09-06-2017,Indonesia,Estuarine_Systems,Data_Deficient,Mark_Gray,Third_people_hair_per_fly_as_whose_standard_couple.
331,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,1.86,50.8,Juvenile,Male,29-07-2024,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Pamela_Moore,Follow_political_book_model_at_strong_candidate_them.
332,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.57,40.7,Juvenile,Male,21-02-2022,Philippines,Rivers,Critically_Endangered,John_Garcia,Politics_home_majority_perhaps_opportunity_any_determine_responsibility_actually_TV_pretty_up_story_life.
333,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.33,82,Adult,Unknown,15-04-2011,Indonesia,Lakes,Least_Concern,Heather_Paul,State_some_around_pay_more_same_strong_back_democratic.
334,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.81,493.9,Subadult,Female,17-06-2020,Australia,Estuaries,Least_Concern,Ashley_Hall,Country_moment_eat_personal_condition_see_indeed_black_police.
335,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,1.36,45.7,Juvenile,Female,15-02-2009,Chad,Lakes,Least_Concern,Jimmy_Ortega,Coach_Congress_husband_front_citizen_your.
336,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,0.87,30.9,Juvenile,Male,16-06-2017,Malaysia,Estuarine_Systems,Data_Deficient,Harold_Edwards,Suddenly_include_plan_step_food_drive_nation_heart_nearly.
337,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,1.94,71.6,Juvenile,Unknown,28-02-2021,Cuba,Swamps,Critically_Endangered,Heather_Chavez,A_alone_expect_administration_career_three_according_worker_Democrat_fire_sign.
338,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.81,127.1,Adult,Female,26-10-2023,Cambodia,Swamps,Critically_Endangered,Samantha_Ellison,News_unit_choice_also_green_catch_happen_old_do_specific_begin_hundred_truth.
339,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.13,74.7,Adult,Unknown,28-01-2017,Thailand,Swamps,Critically_Endangered,Misty_Mcguire,Major_together_reflect_standard_believe_politics_also_space_high.
340,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.59,90.2,Subadult,Male,15-05-2019,Indonesia,Swamps,Least_Concern,Tammy_Cook,Indicate_test_thank_dinner_present_own_activity_since_him_fight_American_music_change.
